time,open,high,low,close,volume
2020-01-06,7.96,8.51,7.96,8.51,290
2020-01-07,8.06,8.06,8.06,8.06,30
2020-01-08,8.54,8.54,8.51,8.51,40
2020-01-09,8.51,8.51,8.51,8.51,0
2020-01-10,8.44,8.44,7.93,7.93,700
2020-01-13,7.62,7.96,7.38,7.96,340
2020-01-14,8.0,8.37,8.0,8.37,110
2020-01-15,7.79,8.37,7.79,8.37,7420
2020-01-16,8.89,8.89,7.79,7.96,1150
2020-01-17,8.37,8.37,8.24,8.24,310
2020-01-20,7.72,8.48,7.72,8.48,1250
2020-01-21,8.48,8.48,8.48,8.48,0
2020-01-22,8.48,8.48,8.48,8.48,0
2020-01-30,7.89,7.89,7.89,7.89,40
2020-01-31,8.17,8.17,8.17,8.17,10
2020-02-03,7.69,7.69,7.65,7.65,30
2020-02-04,7.65,8.06,7.65,7.65,240
2020-02-05,7.86,7.86,7.86,7.86,10
2020-02-06,7.86,7.86,7.86,7.86,0
2020-02-07,8.06,8.06,8.06,8.06,10
2020-02-10,8.06,8.06,8.06,8.06,0
2020-02-11,8.06,8.1,8.06,8.1,110
2020-02-12,8.1,8.1,8.1,8.1,170
2020-02-13,8.13,8.13,8.13,8.13,10
2020-02-14,8.17,8.17,7.82,8.17,140
2020-02-17,8.17,8.17,8.17,8.17,0
2020-02-18,7.89,7.89,7.89,7.89,520
2020-02-19,7.89,8.24,7.89,8.24,520
2020-02-20,8.24,8.51,8.24,8.51,1110
2020-02-21,8.51,8.54,8.51,8.54,70
2020-02-24,9.13,9.13,7.96,8.58,70
2020-02-25,8.82,8.82,8.24,8.82,20
2020-02-26,8.82,8.82,8.82,8.82,0
2020-02-27,8.24,9.34,8.24,8.85,160
2020-02-28,9.03,9.03,9.03,9.03,10
2020-03-02,9.03,9.03,9.03,9.03,0
2020-03-03,8.92,8.92,8.92,8.92,10
2020-03-04,8.92,8.92,8.92,8.92,0
2020-03-05,8.85,8.85,8.37,8.37,420
2020-03-06,7.82,8.85,7.82,8.85,100
2020-03-09,8.85,8.85,8.85,8.85,0
2020-03-10,8.85,8.85,8.85,8.85,0
2020-03-11,8.85,8.85,8.85,8.85,0
2020-03-12,8.24,8.24,8.24,8.24,30
2020-03-13,7.76,8.51,7.69,8.44,1220
2020-03-16,8.44,8.44,8.44,8.44,50
2020-03-17,7.89,8.3,7.89,8.3,20
2020-03-18,7.76,8.2,7.76,8.2,13650
2020-03-19,8.17,8.17,8.17,8.17,200
2020-03-20,8.17,8.17,8.17,8.17,0
2020-03-23,7.89,7.89,7.89,7.89,10
2020-03-24,7.89,7.89,7.34,7.41,80
2020-03-25,7.41,7.93,7.41,7.41,560
2020-03-26,7.41,7.41,7.41,7.41,0
2020-03-27,7.41,7.86,7.41,7.86,310
2020-03-30,7.62,7.62,7.34,7.38,410
2020-03-31,7.55,7.55,7.14,7.17,470
2020-04-01,7.21,7.24,7.21,7.24,120
2020-04-03,6.93,7.52,6.93,7.52,1190
2020-04-06,7.52,7.96,7.52,7.96,290
2020-04-07,7.93,7.93,7.93,7.93,340
2020-04-08,7.93,7.93,7.93,7.93,10
2020-04-09,8.48,8.48,7.93,7.93,380
2020-04-10,8.24,8.24,7.96,8.24,430
2020-04-13,7.89,7.89,7.89,7.89,500
2020-04-14,7.76,7.76,7.76,7.76,320
2020-04-15,8.2,8.24,7.55,7.55,440
2020-04-16,7.55,7.96,7.55,7.76,3980
2020-04-17,7.93,7.93,7.55,7.89,17430
2020-04-20,7.76,7.76,7.76,7.76,200
2020-04-21,7.76,7.76,7.76,7.76,0
2020-04-22,7.69,7.69,7.69,7.69,410
2020-04-23,7.76,7.76,7.58,7.72,1250
2020-04-24,7.62,7.62,7.48,7.48,170
2020-04-27,7.48,7.48,7.48,7.48,0
2020-04-28,7.41,7.48,7.24,7.28,200
2020-04-29,7.28,7.28,7.28,7.28,0
2020-05-04,7.69,7.69,7.69,7.69,150
2020-05-05,7.65,7.76,7.55,7.76,7630
2020-05-06,7.76,8.0,7.65,8.0,4390
2020-05-07,8.03,8.06,7.82,8.06,270
2020-05-08,8.58,8.58,7.82,8.41,760
2020-05-11,7.82,8.24,7.82,7.96,1300
2020-05-12,8.44,8.44,8.17,8.41,4110
2020-05-13,8.37,8.51,8.37,8.44,18430
2020-05-14,8.24,8.44,8.24,8.27,9050
2020-05-15,8.51,8.54,8.3,8.44,9040
2020-05-18,8.58,8.79,8.34,8.37,830
2020-05-19,8.92,8.92,8.34,8.54,18220
2020-05-20,8.54,8.65,8.37,8.37,6250
2020-05-21,8.53,8.87,8.53,8.6,2060
2020-05-22,8.37,8.6,8.07,8.6,540
2020-05-25,8.18,8.22,8.18,8.18,290
2020-05-26,8.15,8.37,8.15,8.37,1190
2020-05-27,8.37,8.37,8.3,8.3,140
2020-05-28,8.26,8.3,8.26,8.3,2010
2020-05-29,8.07,8.3,8.03,8.3,70
2020-06-01,8.15,8.26,7.76,8.03,660
2020-06-02,8.03,8.56,7.65,8.3,820
2020-06-03,8.34,8.34,8.34,8.34,70
2020-06-04,8.3,8.3,7.92,7.92,1630
2020-06-05,8.18,8.22,7.8,8.15,2220
2020-06-08,8.15,8.18,7.84,8.18,390
2020-06-09,8.18,8.56,8.15,8.56,2300
2020-06-10,8.56,8.72,8.56,8.72,4670
2020-06-11,8.22,8.68,8.15,8.15,1480
2020-06-12,7.92,7.99,7.92,7.99,1350
2020-06-15,7.61,8.03,7.54,8.03,1840
2020-06-16,8.03,8.15,7.65,8.11,2120
2020-06-17,8.11,8.18,8.11,8.18,20
2020-06-18,7.76,8.72,7.76,8.72,2450
2020-06-19,8.11,8.37,8.11,8.18,12670
2020-06-22,7.96,7.96,7.92,7.96,290
2020-06-23,8.34,8.34,8.03,8.03,50
2020-06-24,8.07,8.26,8.07,8.26,370
2020-06-25,8.26,8.26,8.26,8.26,0
2020-06-26,7.96,8.15,7.92,8.15,230
2020-06-29,8.15,8.15,8.15,8.15,10
2020-06-30,8.11,8.15,8.11,8.15,13080
2020-07-01,7.73,7.73,7.73,7.73,10
2020-07-02,7.99,8.26,7.99,8.22,1220
2020-07-03,8.22,8.22,8.22,8.22,10
2020-07-06,7.96,7.96,7.84,7.84,250
2020-07-07,8.37,8.37,8.3,8.34,80
2020-07-08,8.34,8.34,8.34,8.34,10
2020-07-09,7.84,8.3,7.84,7.92,1700
2020-07-10,8.22,8.3,7.92,8.3,940
2020-07-13,7.92,7.92,7.92,7.92,930
2020-07-14,7.92,7.92,7.92,7.92,20
2020-07-15,8.34,8.45,8.22,8.45,10740
2020-07-16,8.41,8.41,8.11,8.11,460
2020-07-17,8.37,8.64,8.37,8.53,170
2020-07-20,8.53,8.53,8.53,8.53,0
2020-07-21,8.37,8.37,8.37,8.37,10
2020-07-22,7.84,8.26,7.84,8.26,260
2020-07-23,7.76,8.3,7.76,8.3,70
2020-07-24,8.26,8.26,7.73,8.15,5700
2020-07-27,7.73,7.73,7.58,7.58,15880
2020-07-28,7.99,7.99,7.99,7.99,10
2020-07-29,7.92,7.92,7.92,7.92,10
2020-07-30,7.99,7.99,7.99,7.99,50
2020-07-31,7.58,7.58,7.58,7.58,1500
2020-08-03,7.31,8.03,7.31,8.03,70
2020-08-04,8.03,8.03,7.99,7.99,100
2020-08-05,7.96,7.96,7.96,7.96,1750
2020-08-06,7.92,7.99,7.92,7.92,1020
2020-08-07,7.92,7.92,7.92,7.92,60
2020-08-10,7.92,7.92,7.92,7.92,30
2020-08-11,7.92,7.92,7.84,7.84,140
2020-08-12,7.99,8.03,7.69,8.03,1050
2020-08-13,8.07,8.07,7.99,8.07,260
2020-08-14,7.99,8.07,7.69,8.07,590
2020-08-17,8.07,8.07,8.07,8.07,10
2020-08-18,8.07,8.07,7.99,7.99,30
2020-08-19,8.07,8.15,7.99,8.15,2760
2020-08-20,8.68,8.68,8.34,8.68,4450
2020-08-21,8.68,8.68,8.11,8.3,730
2020-08-24,8.18,8.37,8.18,8.37,200
2020-08-25,8.37,8.68,8.37,8.64,1610
2020-08-26,8.07,8.68,8.07,8.37,1850
2020-08-27,8.76,8.76,8.72,8.76,300
2020-08-28,8.76,8.76,8.76,8.76,10
2020-08-31,8.22,8.68,8.15,8.22,1850
2020-09-01,8.3,8.6,8.3,8.3,870
2020-09-03,8.3,8.37,8.3,8.37,11050
2020-09-04,8.37,8.37,8.3,8.3,4100
2020-09-07,8.3,8.3,8.3,8.3,0
2020-09-08,8.3,8.45,8.3,8.37,420
2020-09-09,8.37,8.94,8.26,8.91,2080
2020-09-10,8.37,8.45,8.37,8.45,610
2020-09-11,8.45,8.45,8.45,8.45,0
2020-09-14,8.53,8.68,8.49,8.53,2840
2020-09-15,8.6,8.6,8.6,8.6,20
2020-09-16,9.14,9.14,8.56,9.06,1430
2020-09-17,8.98,9.02,8.6,8.64,480
2020-09-18,8.83,8.83,8.83,8.83,30
2020-09-21,8.37,8.76,8.37,8.76,2460
2020-09-22,8.76,8.76,8.76,8.76,0
2020-09-23,9.36,9.36,8.91,9.36,580
2020-09-24,9.14,9.67,8.72,9.44,5110
2020-09-25,9.44,9.44,9.25,9.29,360
2020-09-28,9.29,9.29,9.29,9.29,0
2020-09-29,9.21,9.21,8.68,8.68,160
2020-09-30,9.1,9.1,8.26,8.87,3210
2020-10-01,9.29,9.29,9.02,9.02,520
2020-10-02,9.02,9.02,8.45,8.45,590
2020-10-05,8.68,8.98,8.68,8.87,1820
2020-10-06,8.87,8.87,8.87,8.87,0
2020-10-07,8.87,8.87,8.87,8.87,0
2020-10-08,9.4,9.44,8.87,9.44,580
2020-10-09,9.44,9.48,9.14,9.14,1840
2020-10-12,9.74,9.74,9.06,9.59,480
2020-10-13,9.59,9.59,9.59,9.59,0
2020-10-14,9.78,9.82,9.14,9.14,1780
2020-10-15,9.14,9.14,9.14,9.14,3610
2020-10-16,9.14,9.21,9.14,9.21,2380
2020-10-19,9.21,9.21,9.21,9.21,0
2020-10-20,9.06,9.21,8.94,9.21,520
2020-10-21,9.14,9.14,9.14,9.14,20
2020-10-22,8.98,9.48,8.98,9.48,2470
2020-10-23,9.4,9.4,9.4,9.4,100
2020-10-26,9.44,9.44,9.14,9.14,2160
2020-10-27,9.14,9.52,9.14,9.14,1010
2020-10-28,9.48,9.48,9.44,9.48,110
2020-10-29,9.48,9.48,9.48,9.48,100
2020-10-30,9.74,9.74,8.98,8.98,60
2020-11-02,9.14,9.14,8.94,9.14,440
2020-11-03,9.14,9.25,9.14,9.25,20
2020-11-04,9.33,9.33,8.64,8.64,320
2020-11-05,9.21,9.21,9.21,9.21,10
2020-11-06,9.44,9.44,9.44,9.44,10
2020-11-09,8.91,9.4,8.83,9.4,1980
2020-11-10,8.98,8.98,8.98,8.98,430
2020-11-11,8.98,9.14,8.91,8.91,1600
2020-11-12,8.91,8.91,8.91,8.91,960
2020-11-13,8.91,8.91,8.91,8.91,0
2020-11-16,8.91,8.98,8.91,8.91,1020
