time,open,high,low,close,volume
2020-01-06,8.53,8.53,8.53,9.18,0
2020-01-07,8.53,8.53,8.53,9.18,0
2020-01-08,8.53,8.53,8.53,9.18,0
2020-01-09,8.53,8.53,8.53,9.18,0
2020-01-10,8.53,8.53,8.53,9.18,0
2020-01-13,8.53,8.53,8.53,9.18,0
2020-01-14,8.53,8.53,8.53,9.18,0
2020-01-15,8.53,8.53,8.53,9.18,0
2020-01-16,8.53,8.53,8.53,9.18,0
2020-01-17,8.53,8.53,8.53,9.18,5
2020-01-20,8.53,8.53,8.53,9.18,0
2020-01-21,8.53,8.53,8.53,9.18,0
2020-01-22,8.53,8.53,8.53,9.18,0
2020-01-30,8.53,8.53,8.53,9.18,0
2020-01-31,8.53,8.53,8.53,9.18,0
2020-02-03,8.53,8.53,8.53,9.18,0
2020-02-04,8.53,8.53,8.53,9.18,0
2020-02-05,8.53,8.53,8.53,9.18,0
2020-02-06,8.53,8.53,8.53,9.18,0
2020-02-07,7.11,7.11,6.52,6.52,800
2020-02-10,5.92,5.92,5.92,5.92,600
2020-02-11,5.92,5.92,5.92,5.92,2
2020-02-12,5.92,5.92,5.92,5.92,0
2020-02-13,5.92,5.92,5.92,5.92,0
2020-02-14,5.92,5.92,5.92,5.92,0
2020-02-17,5.92,5.92,5.92,5.92,0
2020-02-18,5.92,5.92,5.92,5.92,0
2020-02-19,5.92,5.92,5.92,5.92,0
2020-02-20,6.22,6.22,6.22,6.22,200
2020-02-21,6.22,6.22,6.22,6.22,0
2020-02-24,6.22,6.22,6.22,6.22,53
2020-02-25,6.22,6.22,6.22,6.22,0
2020-02-26,6.22,6.22,6.22,6.22,0
2020-02-27,6.22,6.22,6.22,6.22,0
2020-02-28,5.33,5.33,5.33,5.33,600
2020-03-02,5.33,5.33,5.33,5.33,0
2020-03-03,6.1,6.1,6.1,6.1,110
2020-03-04,6.1,6.1,6.1,6.1,0
2020-03-05,6.1,6.1,6.1,6.1,0
2020-03-06,6.1,6.1,6.1,6.1,0
2020-03-09,6.1,6.1,6.1,6.1,8
2020-03-10,6.1,6.1,6.1,6.1,0
2020-03-11,6.1,6.1,6.1,6.1,0
2020-03-12,6.1,6.1,6.1,6.1,0
2020-03-13,6.1,6.1,6.1,6.1,0
2020-03-16,6.1,6.1,6.1,6.1,0
2020-03-17,6.1,6.1,6.1,6.1,0
2020-03-18,6.1,6.1,6.1,6.1,0
2020-03-19,6.1,6.1,6.1,6.1,1
2020-03-20,6.4,6.4,5.33,5.33,5200
2020-03-23,6.28,6.28,6.28,5.33,0
2020-03-24,6.28,6.28,6.28,5.33,3
2020-03-25,6.28,6.28,6.28,5.33,0
2020-03-26,6.28,6.28,6.28,5.33,0
2020-03-27,6.28,6.28,6.28,5.33,0
2020-03-30,6.28,6.28,6.28,5.33,0
2020-03-31,6.28,6.28,6.28,5.33,0
2020-04-01,6.28,6.28,6.28,5.33,0
2020-04-03,6.28,6.28,6.28,5.33,0
2020-04-06,6.28,6.28,6.28,5.33,0
2020-04-07,6.28,6.28,6.28,5.33,0
2020-04-08,6.28,6.28,6.28,5.33,0
2020-04-09,6.28,6.28,6.28,5.33,0
2020-04-10,5.39,5.39,5.39,5.39,130
2020-04-13,6.16,6.16,5.39,5.39,200
2020-04-14,5.8,5.8,5.8,5.39,22
2020-04-15,5.8,5.8,5.8,5.39,0
2020-04-16,6.57,6.57,5.33,5.33,1100
2020-04-17,6.16,6.16,6.16,6.16,160
2020-04-20,6.16,6.16,6.16,6.16,0
2020-04-21,5.27,5.33,5.27,5.33,200
2020-04-22,5.98,5.98,5.98,5.98,100
2020-04-23,5.21,5.33,5.21,5.33,800
2020-04-24,5.98,5.98,5.21,5.21,1000
2020-04-27,5.63,5.63,5.63,5.21,0
2020-04-28,5.63,5.63,5.63,5.21,2
2020-04-29,5.63,5.63,5.63,5.21,0
2020-05-04,6.4,6.46,6.4,6.46,400
2020-05-05,6.46,6.46,6.46,6.46,0
2020-05-06,6.46,6.46,6.46,6.46,0
2020-05-07,6.46,6.46,6.46,6.46,0
2020-05-08,6.46,6.46,6.46,6.46,0
2020-05-11,6.46,6.46,6.46,6.46,10
2020-05-12,6.46,6.46,6.46,6.46,0
2020-05-13,6.46,6.46,6.46,6.46,0
2020-05-14,5.51,5.51,5.51,5.51,400
2020-05-15,5.51,5.51,5.51,5.51,0
2020-05-18,5.09,5.09,5.03,5.03,2000
2020-05-19,5.03,5.74,5.03,5.74,200
2020-05-20,5.39,5.39,5.39,5.74,0
2020-05-21,5.39,5.39,5.39,5.74,0
2020-05-22,5.39,5.39,5.39,5.74,0
2020-05-25,6.16,6.16,5.03,5.03,300
2020-05-26,5.39,5.39,5.39,5.03,0
2020-05-27,5.39,5.39,5.39,5.03,0
2020-05-28,5.39,5.39,5.39,5.03,0
2020-05-29,5.39,5.39,5.39,5.03,0
2020-06-01,5.39,5.39,5.39,5.39,160
2020-06-02,5.39,5.39,5.39,5.39,10
2020-06-03,5.21,5.21,5.21,5.21,300
2020-06-04,5.98,5.98,5.98,5.98,100
2020-06-05,5.98,5.98,5.98,5.98,0
2020-06-08,5.98,5.98,5.98,5.98,0
2020-06-09,5.98,5.98,5.98,5.98,0
2020-06-10,5.98,5.98,5.98,5.98,0
2020-06-11,5.98,5.98,5.98,5.98,37
2020-06-12,5.98,5.98,5.98,5.98,0
2020-06-15,5.98,5.98,5.98,5.98,0
2020-06-16,5.98,5.98,5.98,5.98,0
2020-06-17,5.98,5.98,5.98,5.98,0
2020-06-18,5.98,5.98,5.98,5.98,0
2020-06-19,5.98,5.98,5.98,5.98,10
2020-06-22,5.98,5.98,5.98,5.98,50
2020-06-23,5.98,5.98,5.98,5.98,0
2020-06-24,5.98,5.98,5.98,5.98,0
2020-06-25,5.98,5.98,5.98,5.98,7
2020-06-26,5.8,5.8,5.8,5.8,100
2020-06-29,5.8,5.8,5.8,5.8,0
2020-06-30,5.8,5.8,5.8,5.8,0
2020-07-01,5.39,5.39,5.39,5.39,100
2020-07-02,5.39,5.39,5.39,5.39,0
2020-07-03,5.39,5.39,5.39,5.39,0
2020-07-06,5.39,5.39,5.39,5.39,1
2020-07-07,5.39,5.39,5.39,5.39,0
2020-07-08,5.39,5.39,5.39,5.39,0
2020-07-09,5.39,5.39,5.39,5.39,0
2020-07-10,5.39,5.39,5.39,5.39,0
2020-07-13,5.38,5.38,5.38,5.76,0
2020-07-14,5.38,5.38,5.38,5.76,0
2020-07-15,5.38,5.38,5.38,5.76,0
2020-07-16,5.38,5.38,5.38,5.76,0
2020-07-17,5.38,5.38,5.38,5.76,0
2020-07-20,5.38,5.38,5.38,5.76,0
2020-07-21,5.38,5.38,5.38,5.76,0
2020-07-22,5.38,5.38,5.38,5.76,0
2020-07-23,5.38,5.38,5.38,5.76,0
2020-07-24,5.38,5.38,5.38,5.76,0
2020-07-27,6.14,6.14,6.14,6.14,100
2020-07-28,6.14,6.14,6.14,6.14,0
2020-07-29,6.14,6.14,6.14,6.14,0
2020-07-30,6.14,6.14,6.14,6.14,0
2020-07-31,6.14,6.14,6.14,6.14,0
2020-08-03,6.14,6.14,6.14,6.14,40
2020-08-04,6.14,6.14,6.14,6.14,100
2020-08-05,6.14,6.14,6.14,6.14,0
2020-08-06,6.14,6.14,6.14,6.14,0
2020-08-07,6.14,6.14,6.14,6.14,100
2020-08-10,6.2,6.2,6.2,6.2,100
2020-08-11,6.2,6.2,6.2,6.2,0
2020-08-12,6.2,6.2,6.2,6.2,0
2020-08-13,6.2,6.2,6.2,6.46,0
2020-08-14,6.2,6.2,6.2,6.46,0
2020-08-17,7.12,7.12,7.12,7.12,320
2020-08-18,7.12,7.12,7.12,7.12,0
2020-08-19,7.12,7.12,7.12,7.12,0
2020-08-20,7.12,7.12,7.12,7.12,0
2020-08-21,7.12,7.12,7.12,7.12,0
2020-08-24,7.12,7.12,7.12,7.12,20
2020-08-25,7.12,7.12,7.12,7.12,0
2020-08-26,7.12,7.12,7.12,7.12,0
2020-08-27,7.12,7.12,7.12,7.12,0
2020-08-28,7.12,7.12,7.12,7.12,17
2020-08-31,7.12,7.12,7.12,7.12,0
2020-09-01,7.12,7.12,7.12,7.12,0
2020-09-03,7.12,7.12,7.12,7.12,0
2020-09-04,7.12,7.12,7.12,7.12,1
