time,open,high,low,close,volume
2020-01-06,11.37,11.37,11.37,9.78,0
2020-01-07,11.37,11.37,11.37,9.78,0
2020-01-08,11.37,11.37,11.37,9.78,0
2020-01-09,7.93,7.93,7.93,7.93,100
2020-01-10,7.93,7.93,7.93,7.93,0
2020-01-13,7.93,7.93,7.93,7.93,0
2020-01-14,7.93,7.93,7.93,7.93,0
2020-01-15,7.93,7.93,7.93,7.93,0
2020-01-16,7.93,7.93,7.93,7.93,0
2020-01-17,7.93,7.93,7.93,7.93,0
2020-01-20,7.93,7.93,7.93,7.93,0
2020-01-21,7.93,7.93,7.93,7.93,0
2020-01-22,7.93,7.93,7.93,7.93,0
2020-01-30,7.93,7.93,7.93,7.93,0
2020-01-31,7.93,7.93,7.93,7.93,0
2020-02-03,7.58,7.58,7.58,7.58,100
2020-02-04,7.58,7.58,7.58,7.58,0
2020-02-05,7.58,7.58,7.58,7.58,0
2020-02-06,7.58,7.58,7.58,7.58,0
2020-02-07,7.58,7.58,7.58,7.58,0
2020-02-10,7.58,7.58,7.58,7.58,0
2020-02-11,7.58,7.58,7.58,7.58,0
2020-02-12,7.58,7.58,7.58,7.58,0
2020-02-13,8.68,8.68,8.68,8.68,200
2020-02-14,8.68,8.68,8.68,8.68,0
2020-02-17,9.98,9.98,9.98,9.98,100
2020-02-18,11.47,11.47,11.47,11.47,100
2020-02-19,13.17,13.17,13.17,13.17,100
2020-02-20,15.11,15.11,15.11,15.11,100
2020-02-21,15.11,15.11,15.11,15.11,0
2020-02-24,17.36,17.36,17.36,17.36,100
2020-02-25,17.36,17.46,16.96,16.96,3189
2020-02-26,17.21,17.21,16.96,16.96,2504
2020-02-27,16.96,16.96,16.96,16.96,1300
2020-02-28,16.46,16.46,16.46,16.46,573
2020-03-02,16.46,16.46,16.46,16.46,1926
2020-03-03,16.46,16.46,16.46,16.46,10
2020-03-04,16.46,16.46,16.46,16.46,5501
2020-03-05,16.46,16.46,16.46,16.46,111
2020-03-06,16.46,16.46,16.46,16.46,0
2020-03-09,14.96,14.96,14.96,14.96,150
2020-03-10,14.96,14.96,14.96,14.96,0
2020-03-11,14.96,14.96,14.96,14.96,0
2020-03-12,14.96,14.96,14.96,14.96,0
2020-03-13,14.96,14.96,14.96,14.96,6735
2020-03-16,14.96,14.96,14.96,14.96,0
2020-03-17,14.96,14.96,14.96,14.96,0
2020-03-18,14.96,14.96,14.96,14.96,0
2020-03-19,14.96,14.96,14.96,14.96,0
2020-03-20,14.96,14.96,14.96,14.96,0
2020-03-23,14.96,14.96,14.96,14.96,0
2020-03-24,12.97,12.97,12.97,12.97,1695
2020-03-25,12.97,12.97,12.97,12.97,0
2020-03-26,12.97,12.97,12.97,12.97,0
2020-03-27,12.97,12.97,12.97,12.97,0
2020-03-30,12.97,12.97,12.97,12.97,0
2020-03-31,12.97,12.97,12.97,12.97,0
2020-04-01,12.97,12.97,12.97,12.97,0
2020-04-03,12.97,12.97,12.97,12.97,0
2020-04-06,12.97,12.97,12.97,12.97,0
2020-04-07,13.22,13.22,13.22,13.22,10000
2020-04-08,13.22,13.22,13.22,13.22,2
2020-04-09,15.16,15.16,15.16,15.16,600
2020-04-10,16.46,17.41,16.46,17.41,5135
2020-04-13,18.9,18.9,18.9,18.9,150
2020-04-14,18.9,18.9,16.81,16.81,16410
2020-04-15,16.56,16.56,16.56,16.56,100
2020-04-16,16.56,16.56,16.56,16.56,50
2020-04-17,16.26,16.26,16.21,16.21,200
2020-04-20,17.46,17.46,17.46,17.46,1610
2020-04-21,17.46,17.46,17.46,17.46,505
2020-04-22,16.46,17.46,16.46,17.46,5158
2020-04-23,17.51,17.96,17.46,17.96,7016
2020-04-24,17.96,18.46,17.96,18.46,6000
2020-04-27,18.21,18.46,18.21,18.46,30200
2020-04-28,18.46,19.7,18.46,19.7,23131
2020-04-29,19.45,19.95,19.45,19.95,25625
2020-05-04,19.85,19.85,19.45,19.45,7004
2020-05-05,18.95,19.95,18.95,19.95,20330
2020-05-06,19.7,19.95,19.7,19.7,10862
2020-05-07,19.55,19.95,19.55,19.95,2442
2020-05-08,19.65,19.8,19.65,19.65,13200
2020-05-11,19.8,19.8,19.45,19.8,16360
2020-05-12,19.7,19.7,19.7,19.7,145
2020-05-13,20.45,20.45,19.95,20.05,2570
2020-05-14,19.75,19.75,19.75,19.75,100
2020-05-15,19.75,19.75,19.75,19.75,61
2020-05-18,19.95,19.95,19.95,19.95,550
2020-05-19,19.5,19.5,19.5,19.5,200
2020-05-20,19.5,19.5,19.5,19.5,0
2020-05-21,19.5,19.5,19.5,19.5,0
2020-05-22,19.95,19.95,19.95,19.95,4056
2020-05-25,19.95,19.95,19.95,19.95,0
2020-05-26,19.95,19.95,19.95,19.95,1500
2020-05-27,19.95,19.95,19.95,19.95,0
2020-05-28,20.45,22.55,20.45,22.55,4205
2020-05-29,21.95,22.6,21.95,22.6,4065
2020-06-01,22.0,22.0,22.0,22.0,200
2020-06-02,21.95,22.0,21.95,22.0,937
2020-06-03,21.95,21.95,21.95,21.95,100
2020-06-04,22.45,23.19,22.45,23.19,5418
2020-06-05,23.14,23.14,23.14,23.14,450
2020-06-08,22.94,23.1,22.94,22.94,1200
2020-06-09,23.14,23.14,21.2,22.94,1300
2020-06-10,22.7,23.69,22.7,23.69,13700
2020-06-11,23.1,23.1,23.1,23.69,119
2020-06-12,22.45,22.45,22.45,22.45,801
2020-06-15,23.1,23.44,23.1,23.19,5462
2020-06-16,23.44,23.84,23.19,23.19,9526
2020-06-17,25.22,25.22,25.22,25.22,100
2020-06-18,23.64,23.64,22.86,22.86,850
2020-06-19,22.86,22.86,22.86,22.86,116
2020-06-22,23.64,23.64,20.96,22.86,5518
2020-06-23,22.93,22.93,22.93,22.93,1303
2020-06-24,20.57,22.46,20.57,22.46,1700
2020-06-25,21.12,21.12,21.12,22.46,0
2020-06-26,21.12,21.12,21.12,22.46,0
2020-06-29,22.86,23.25,22.86,23.25,2400
2020-06-30,23.17,23.17,23.17,23.25,0
2020-07-01,23.64,23.64,23.64,23.64,710
2020-07-02,23.64,23.64,23.64,23.64,86
2020-07-03,23.96,23.96,23.96,23.96,1000
2020-07-06,23.96,23.96,23.96,23.96,0
2020-07-07,23.64,23.64,23.64,23.64,2600
2020-07-08,23.8,23.96,23.64,23.64,3012
2020-07-09,23.96,23.96,23.96,23.96,510
2020-07-10,23.96,23.96,23.96,23.96,0
2020-07-13,23.96,23.96,23.96,23.96,0
2020-07-14,23.96,23.96,23.96,23.96,0
2020-07-15,24.04,24.35,24.04,24.35,1574
2020-07-16,23.88,23.88,23.88,23.88,2000
2020-07-17,23.88,23.88,23.88,23.88,0
2020-07-20,23.88,23.88,23.88,23.88,100
2020-07-21,24.59,24.59,24.59,24.59,174
2020-07-22,24.59,24.59,24.59,24.59,0
2020-07-23,23.25,23.25,22.86,23.25,1200
2020-07-24,22.86,22.86,22.86,22.86,100
2020-07-27,23.64,23.64,22.86,23.64,3400
2020-07-28,23.41,23.41,23.41,23.64,20
2020-07-29,24.43,24.43,24.43,24.43,3400
2020-07-30,24.43,24.43,24.43,24.43,10
2020-07-31,24.43,24.43,24.43,24.43,0
2020-08-03,24.43,24.43,24.43,24.43,0
2020-08-04,24.51,24.51,24.51,24.51,100
2020-08-05,25.14,25.14,25.14,25.14,100
2020-08-06,25.22,25.38,25.22,25.38,6000
2020-08-07,23.64,25.61,23.64,25.61,6000
2020-08-10,23.64,25.85,23.56,25.46,7200
2020-08-11,24.2,24.2,24.2,25.46,54
2020-08-12,24.43,24.43,23.88,23.88,3734
2020-08-13,24.27,24.27,24.2,24.2,2169
2020-08-14,24.43,24.43,24.43,24.43,1109
2020-08-17,25.54,26.48,25.54,25.61,7110
2020-08-18,26.09,26.09,26.09,26.09,828
2020-08-19,26.17,26.17,26.17,26.17,385
2020-08-20,26.01,26.17,26.01,26.17,664
2020-08-21,26.17,26.17,26.17,26.17,92
2020-08-24,25.93,26.17,25.93,26.17,2058
2020-08-25,26.01,26.17,26.01,26.17,1963
2020-08-26,26.17,26.17,26.17,26.17,101
2020-08-27,26.17,26.17,26.17,26.17,114
2020-08-28,26.09,26.17,26.09,26.17,4689
2020-08-31,26.17,26.17,26.17,26.17,700
2020-09-01,24.35,24.35,24.35,24.35,100
2020-09-03,26.01,26.01,25.61,25.61,709
2020-09-04,25.69,25.69,25.69,25.69,1082
2020-09-07,25.69,25.69,25.69,25.69,0
2020-09-08,25.69,25.69,25.69,25.69,15
2020-09-09,23.33,25.69,23.33,25.69,300
2020-09-10,24.51,24.51,24.51,25.69,80
2020-09-11,24.51,24.51,24.51,25.69,0
2020-09-14,24.51,24.51,24.51,25.69,0
2020-09-15,25.85,25.85,25.85,25.85,134
2020-09-16,25.85,25.85,25.85,25.85,0
2020-09-17,25.22,26.24,25.22,26.24,3068
2020-09-18,25.93,25.93,25.93,26.24,0
2020-09-21,25.93,25.93,25.93,25.93,1
2020-09-22,25.93,25.93,25.93,25.93,0
2020-09-23,25.61,25.61,25.61,25.61,10100
2020-09-24,26.8,26.8,26.8,26.8,1551
2020-09-25,26.17,27.74,26.17,27.74,3785
2020-09-28,26.72,26.72,26.72,27.74,0
2020-09-29,26.72,26.72,26.72,27.74,1
2020-09-30,27.58,27.98,27.58,27.98,3000
2020-10-01,27.98,27.98,27.98,27.98,0
2020-10-02,27.98,27.98,27.98,27.98,0
2020-10-05,27.98,27.98,27.98,27.98,0
2020-10-06,27.9,27.9,27.9,27.9,100
2020-10-07,27.9,27.9,27.9,27.9,0
2020-10-08,27.9,27.9,27.9,27.9,0
2020-10-09,27.9,27.9,27.9,27.9,0
2020-10-12,27.9,27.9,27.9,27.9,0
2020-10-13,27.9,27.9,27.9,27.9,0
2020-10-14,27.9,27.9,27.9,27.9,0
2020-10-15,27.9,27.9,27.9,27.9,0
2020-10-16,27.9,27.9,27.9,27.9,0
2020-10-19,27.9,27.9,27.9,27.9,0
2020-10-20,27.9,27.9,27.9,27.9,0
2020-10-21,27.9,27.9,27.9,27.9,0
2020-10-22,27.9,27.9,27.9,27.9,0
2020-10-23,25.69,27.74,25.69,27.74,300
2020-10-26,30.34,30.34,29.95,29.95,700
2020-10-27,30.26,30.26,30.26,29.95,0
2020-10-28,30.26,30.26,30.26,30.26,600
2020-10-29,30.26,30.26,30.26,30.26,0
2020-10-30,30.26,30.26,30.26,30.26,0
2020-11-02,28.77,29.56,28.77,29.56,1000
2020-11-03,31.52,31.52,31.52,31.52,2400
2020-11-04,31.52,31.52,31.52,31.52,0
2020-11-05,31.52,31.52,31.52,31.52,8900
2020-11-06,31.52,31.52,31.52,31.52,600
2020-11-09,29.63,29.63,29.63,29.63,200
2020-11-10,31.52,34.05,31.52,34.05,2600
2020-11-11,36.49,36.49,35.47,35.47,2000
2020-11-12,35.47,35.47,35.47,35.47,800
