time,open,high,low,close,volume
2020-01-06,3.16,3.22,3.15,3.15,54690
2020-01-07,3.15,3.16,3.02,3.04,224920
2020-01-08,3.02,3.09,3.02,3.09,157770
2020-01-09,3.11,3.13,3.09,3.11,37270
2020-01-10,3.11,3.13,3.11,3.11,149280
2020-01-13,3.18,3.18,3.08,3.11,124300
2020-01-14,3.16,3.16,3.11,3.12,63100
2020-01-15,3.12,3.13,3.09,3.12,121140
2020-01-16,3.12,3.18,3.11,3.12,124840
2020-01-17,3.13,3.15,3.12,3.15,77780
2020-01-20,3.13,3.16,3.11,3.16,124020
2020-01-21,3.18,3.19,3.12,3.15,57680
2020-01-22,3.12,3.19,3.12,3.16,65470
2020-01-30,3.12,3.15,3.05,3.11,124060
2020-01-31,3.09,3.09,2.9,3.0,113390
2020-02-03,2.97,2.97,2.79,2.83,89900
2020-02-04,2.83,2.97,2.69,2.83,377140
2020-02-05,2.83,2.83,2.71,2.83,200270
2020-02-06,2.83,2.83,2.72,2.83,157350
2020-02-07,2.83,2.89,2.75,2.87,67450
2020-02-10,2.84,2.93,2.83,2.89,93640
2020-02-11,2.91,2.94,2.87,2.89,115390
2020-02-12,2.89,2.97,2.89,2.97,49560
2020-02-13,2.97,3.0,2.94,2.97,73150
2020-02-14,2.97,3.01,2.97,2.98,51530
2020-02-17,3.0,3.04,2.97,3.02,106150
2020-02-18,3.02,3.13,3.02,3.09,54540
2020-02-19,3.11,3.12,3.05,3.11,48140
2020-02-20,3.12,3.13,3.09,3.12,28460
2020-02-21,3.11,3.15,3.08,3.11,92670
2020-02-24,3.08,3.08,2.94,2.97,146700
2020-02-25,2.94,3.02,2.89,3.02,109360
2020-02-26,2.96,3.05,2.91,2.94,79520
2020-02-27,2.96,3.01,2.87,2.87,224360
2020-02-28,2.87,2.94,2.82,2.94,92680
2020-03-02,2.91,2.97,2.86,2.94,116840
2020-03-03,2.94,2.96,2.86,2.86,149880
2020-03-04,2.86,2.93,2.86,2.89,16760
2020-03-05,2.89,2.94,2.89,2.91,80650
2020-03-06,2.91,2.91,2.89,2.89,83590
2020-03-09,2.87,2.87,2.72,2.75,142320
2020-03-10,2.72,2.82,2.7,2.79,83080
2020-03-11,2.79,2.83,2.74,2.76,206680
2020-03-12,2.75,2.75,2.61,2.61,113970
2020-03-13,2.61,2.61,2.43,2.53,301140
2020-03-16,2.47,2.56,2.47,2.47,87270
2020-03-17,2.47,2.5,2.42,2.5,67280
2020-03-18,2.48,2.56,2.48,2.53,49610
2020-03-19,2.53,2.53,2.42,2.44,99850
2020-03-20,2.53,2.53,2.42,2.44,55720
2020-03-23,2.44,2.46,2.26,2.27,194550
2020-03-24,2.18,2.42,2.18,2.39,170040
2020-03-25,2.5,2.5,2.4,2.5,56260
2020-03-26,2.5,2.5,2.42,2.42,101100
2020-03-27,2.47,2.47,2.36,2.39,71230
2020-03-30,2.36,2.36,2.28,2.31,39630
2020-03-31,2.31,2.42,2.31,2.32,82420
2020-04-01,2.34,2.45,2.34,2.45,179790
2020-04-03,2.42,2.6,2.42,2.6,183350
2020-04-06,2.6,2.72,2.6,2.71,113850
2020-04-07,2.79,2.79,2.66,2.69,239260
2020-04-08,2.67,2.67,2.61,2.65,201590
2020-04-09,2.69,2.69,2.62,2.64,129990
2020-04-10,2.65,2.75,2.64,2.74,237900
2020-04-13,2.75,2.75,2.69,2.74,73460
2020-04-14,2.74,2.74,2.72,2.73,84590
2020-04-15,2.73,2.8,2.73,2.79,87230
2020-04-16,2.75,2.83,2.75,2.8,105930
2020-04-17,2.8,2.86,2.8,2.86,47600
2020-04-20,2.86,2.9,2.79,2.87,98720
2020-04-21,2.86,2.86,2.74,2.74,222230
2020-04-22,2.75,2.84,2.74,2.84,198310
2020-04-23,2.83,2.94,2.83,2.91,110500
2020-04-24,2.89,2.91,2.86,2.89,50560
2020-04-27,2.91,2.93,2.86,2.89,64370
2020-04-28,2.93,2.93,2.83,2.89,57240
2020-04-29,2.91,3.02,2.89,2.94,116440
2020-05-04,2.91,2.97,2.89,2.91,23950
2020-05-05,2.89,2.93,2.84,2.86,57540
2020-05-06,2.86,2.93,2.84,2.89,94500
2020-05-07,2.94,2.94,2.89,2.94,65300
2020-05-08,2.94,3.0,2.9,2.97,99730
2020-05-11,3.0,3.02,2.94,2.98,137920
2020-05-12,2.98,3.01,2.96,2.98,90670
2020-05-13,2.98,3.11,2.98,3.09,81490
2020-05-14,3.02,3.11,3.02,3.05,56360
2020-05-15,3.05,3.08,3.02,3.04,57740
2020-05-18,3.04,3.06,3.01,3.05,38750
2020-05-19,3.05,3.08,2.97,3.02,142180
2020-05-20,3.02,3.02,2.97,3.01,48100
2020-05-21,3.02,3.05,3.0,3.01,73320
2020-05-22,3.01,3.01,2.94,3.0,35060
2020-05-25,3.0,3.02,2.94,3.01,43180
2020-05-26,3.01,3.19,3.01,3.13,156510
2020-05-27,3.13,3.19,3.12,3.12,67420
2020-05-28,3.18,3.3,3.18,3.27,300180
2020-05-29,3.27,3.3,3.19,3.28,83520
2020-06-01,3.28,3.28,3.22,3.24,69030
2020-06-02,3.24,3.26,3.19,3.26,169100
2020-06-03,3.26,3.27,3.22,3.24,53490
2020-06-04,3.22,3.24,3.19,3.2,47190
2020-06-05,3.24,3.24,3.2,3.24,44080
2020-06-08,3.3,3.4,3.27,3.33,268000
2020-06-09,3.35,3.35,3.27,3.27,62580
2020-06-10,3.24,3.3,3.24,3.24,56100
2020-06-11,3.3,3.3,3.02,3.06,200340
2020-06-12,2.97,3.06,2.97,3.06,112320
2020-06-15,3.06,3.06,2.97,3.0,110870
2020-06-16,3.06,3.11,3.02,3.09,34150
2020-06-17,3.09,3.13,3.01,3.08,72600
2020-06-18,3.09,3.13,3.08,3.13,31590
2020-06-19,3.13,3.22,3.13,3.22,80630
2020-06-22,3.2,3.26,3.2,3.2,102990
2020-06-23,3.24,3.26,3.19,3.2,103190
2020-06-24,3.2,3.24,3.19,3.22,63960
