time,open,high,low,close,volume
2020-01-06,3.01,3.12,2.87,2.9,2690930
2020-01-07,2.9,3.1,2.88,3.09,3718920
2020-01-08,3.03,3.08,2.88,2.88,3536240
2020-01-09,2.96,3.04,2.86,2.88,2079120
2020-01-10,2.88,2.94,2.68,2.68,5425850
2020-01-13,2.57,2.65,2.5,2.5,3868180
2020-01-14,2.43,2.66,2.39,2.45,1817510
2020-01-15,2.5,2.59,2.3,2.37,2432850
2020-01-16,2.42,2.42,2.22,2.29,4209660
2020-01-17,2.29,2.45,2.22,2.37,2763790
2020-01-20,2.4,2.46,2.36,2.44,1275720
2020-01-21,2.4,2.61,2.37,2.61,2610100
2020-01-22,2.75,2.79,2.61,2.79,3134920
2020-01-30,2.78,2.78,2.6,2.6,2180550
2020-01-31,2.44,2.54,2.42,2.42,3568840
2020-02-03,2.26,2.54,2.26,2.42,3781150
2020-02-04,2.49,2.57,2.4,2.56,2833320
2020-02-05,2.56,2.63,2.42,2.5,2712650
2020-02-06,2.5,2.57,2.41,2.54,2137860
2020-02-07,2.49,2.67,2.45,2.56,3156090
2020-02-10,2.53,2.58,2.46,2.47,2055530
2020-02-11,2.47,2.52,2.44,2.46,2693420
2020-02-12,2.46,2.63,2.46,2.63,5425510
2020-02-13,2.63,2.78,2.63,2.71,3062890
2020-02-14,2.73,2.85,2.54,2.54,5722900
2020-02-17,2.54,2.64,2.5,2.54,2996790
2020-02-18,2.57,2.65,2.53,2.6,2979750
2020-02-19,2.62,2.78,2.6,2.78,5732830
2020-02-20,2.92,2.97,2.82,2.82,5278780
2020-02-21,2.78,2.83,2.63,2.63,5042580
2020-02-24,2.51,2.57,2.45,2.45,6035960
2020-02-25,2.31,2.62,2.31,2.62,4058550
2020-02-26,2.5,2.7,2.5,2.53,2739560
2020-02-27,2.52,2.66,2.52,2.62,2577590
2020-02-28,2.55,2.58,2.49,2.54,2951590
2020-03-02,2.71,2.71,2.65,2.67,7951200
2020-03-03,2.85,2.85,2.84,2.85,4303480
2020-03-04,3.04,3.04,3.04,3.04,1820150
2020-03-05,3.25,3.25,3.15,3.24,13556880
2020-03-06,3.08,3.43,3.08,3.34,5789800
2020-03-09,3.11,3.11,3.11,3.11,1033700
2020-03-10,2.9,3.32,2.9,3.32,15910280
2020-03-11,3.55,3.55,3.25,3.55,14583690
2020-03-12,3.35,3.79,3.35,3.78,8219340
2020-03-13,3.55,4.02,3.53,4.0,9616110
2020-03-16,4.25,4.28,4.19,4.28,6171010
2020-03-17,4.57,4.57,4.57,4.57,1617280
2020-03-18,4.88,4.88,4.88,4.88,1238630
2020-03-19,5.22,5.22,4.54,4.54,23291970
2020-03-20,4.23,4.23,4.23,4.23,1305990
2020-03-23,3.94,3.94,3.94,3.94,54380
2020-03-24,3.67,3.67,3.67,3.67,619110
2020-03-25,3.42,3.6,3.42,3.42,8504000
2020-03-26,3.19,3.19,3.19,3.19,315570
2020-03-27,2.97,2.97,2.97,2.97,361460
2020-03-30,2.77,2.77,2.77,2.77,184000
2020-03-31,2.58,2.58,2.58,2.58,3410100
2020-04-01,2.4,2.76,2.4,2.76,11794890
2020-04-03,2.85,2.95,2.8,2.95,6539200
2020-04-06,3.1,3.1,2.75,2.75,13639240
2020-04-07,2.61,2.76,2.56,2.59,8741980
2020-04-08,2.59,2.77,2.59,2.77,3029830
2020-04-09,2.82,2.95,2.73,2.74,4629650
2020-04-10,2.67,2.72,2.55,2.64,7050350
